typeID,typeName,groupID,groupName,marketGroupID,marketGroupName,mass,volume,capacity,portionSize,raceID,basePrice,published
240,Microwave S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
241,Infrared S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
242,Standard S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
243,Ultraviolet S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
244,Xray S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
245,Gamma S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
246,Multifrequency S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
247,Radio M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
248,Microwave M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
249,Infrared M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
250,Standard M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
251,Ultraviolet M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
252,Xray M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
253,Gamma M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
254,Multifrequency M,86,Frequency Crystal,103,Medium,1,1,0,1,,,1
255,Radio L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
256,Microwave L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
257,Infrared L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
258,Standard L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
259,Ultraviolet L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
260,Xray L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
261,Gamma L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
262,Multifrequency L,86,Frequency Crystal,105,Large,1,1,0,1,,,1
263,Cap Booster 25,87,Capacitor Booster Charge,139,Cap Booster Charges,2.5,1,0,10,,1000,1
264,Cap Booster 50,87,Capacitor Booster Charge,139,Cap Booster Charges,5,2,0,10,,2500,1
265,Heavy Defender Missile I,1158,Heavy Defender Missile,,NA,1000,0.03,0,100,,,0
266,Scourge Rocket,387,Rocket,922,Standard Rockets,100,0.005,0,100,,240,1
267,Scourge Torpedo,89,Torpedo,923,Standard Torpedoes,1500,0.05,0,100,,30000,1
269,Mjolnir Auto-Targeting Light Missile I,394,Auto-Targeting Light Missile,914,Standard Auto-Targeting,700,0.015,0,100,4,750,1
270,Python Mine,92,Mine,,NA,1,0.15,0,10,,,0
377,Small Shield Extender I,38,Shield Extender,605,Small,0,5,0,1,,,1
380,Small Shield Extender II,38,Shield Extender,605,Small,0,5,0,1,,,1
393,Shield Recharger I,39,Shield Recharger,126,Shield Rechargers,0,5,1,1,,,1
394,Shield Recharger II,39,Shield Recharger,126,Shield Rechargers,0,5,1,1,,,1
399,Small Shield Booster I,40,Shield Booster,609,Small,0,5,0,1,,,1
400,Small Shield Booster II,40,Shield Booster,609,Small,0,5,0,1,,,1
405,'Micro' Remote Shield Booster,41,Remote Shield Booster,603,Small,0,2.5,0,1,,1998,1
406,Micro Remote Shield Booster II,41,Remote Shield Booster,604,Micro,0,2.5,0,1,,35736,0
421,'Basic' Capacitor Recharger,43,Capacitor Recharger,665,Capacitor Rechargers,1,5,0,1,,,1
434,5MN Microwarpdrive I,46,Propulsion Module,131,Microwarpdrives,0,10,0,1,4,31636,1
438,1MN Afterburner II,46,Propulsion Module,542,Afterburners,0,5,0,1,4,40566,1
439,1MN Afterburner I,46,Propulsion Module,542,Afterburners,0,5,0,1,4,6450,1
440,5MN Microwarpdrive II,46,Propulsion Module,131,Microwarpdrives,0,10,0,1,4,134084,1
442,Cargo Scanner I,47,Cargo Scanner,711,Cargo Scanners,0,5,0,1,,,1
443,Ship Scanner I,48,Ship Scanner,713,Ship Scanners,0,5,0,1,,,1
444,Survey Scanner I,49,Survey Scanner,714,Survey Scanners,0,5,0,1,,,1
447,Warp Scrambler I,52,Warp Scrambler,1936,Warp Scramblers,0,5,0,1,,,1
448,Warp Scrambler II,52,Warp Scrambler,1936,Warp Scramblers,0,5,0,1,,,1
450,Gatling Pulse Laser I,53,Energy Weapon,570,Small,500,5,1,1,,,1
451,Dual Light Pulse Laser I,53,Energy Weapon,570,Small,500,5,1,1,,,1
452,Dual Light Beam Laser I,53,Energy Weapon,567,Small,500,5,1,1,,,1
453,Small Focused Pulse Laser I,53,Energy Weapon,570,Small,500,5,1,1,,,1
454,Small Focused Beam Laser I,53,Energy Weapon,567,Small,500,5,1,1,,,1
455,Quad Light Beam Laser I,53,Energy Weapon,568,Medium,1000,10,1,1,,,1
456,Focused Medium Pulse Laser I,53,Energy Weapon,572,Medium,1000,10,1,1,,,1
457,Focused Medium Beam Laser I,53,Energy Weapon,568,Medium,1000,10,1,1,,,1
458,Heavy Pulse Laser I,53,Energy Weapon,572,Medium,1000,25,1,1,,,1
459,Heavy Beam Laser I,53,Energy Weapon,568,Medium,1000,25,1,1,,,1
460,Dual Heavy Pulse Laser I,53,Energy Weapon,573,Large,2000,20,1,1,,,1
461,Dual Heavy Beam Laser I,53,Energy Weapon,569,Large,2000,50,1,1,,,1
462,Mega Pulse Laser I,53,Energy Weapon,573,Large,2000,50,1,1,,,1
463,Mega Beam Laser I,53,Energy Weapon,569,Large,2000,50,1,1,,,1
464,Tachyon Beam Laser I,53,Energy Weapon,569,Large,2000,50,1,1,,,1
482,Miner II,54,Mining Laser,1039,Mining Lasers,0,5,0,1,,,1
483,Miner I,54,Mining Laser,1039,Mining Lasers,0,5,0,1,,,1
484,125mm Gatling AutoCannon I,55,Projectile Weapon,574,Small,500,5,0.5,1,,2000,1
485,150mm Light AutoCannon I,55,Projectile Weapon,574,Small,500,5,0.4,1,,6000,1
486,200mm AutoCannon I,55,Projectile Weapon,574,Small,500,5,0.3,1,,9000,1
487,250mm Light Artillery Cannon I,55,Projectile Weapon,577,Small,500,5,0.1,1,,12000,1
488,280mm Howitzer Artillery I,55,Projectile Weapon,577,Small,500,5,0.05,1,,15000,1
489,Dual 180mm AutoCannon I,55,Projectile Weapon,575,Medium,1000,10,2.5,1,,20000,1
490,220mm Vulcan AutoCannon I,55,Projectile Weapon,575,Medium,1000,10,2,1,,60000,1
491,425mm AutoCannon I,55,Projectile Weapon,575,Medium,1000,10,1.5,1,,90000,1
492,650mm Artillery Cannon I,55,Projectile Weapon,578,Medium,125,25,0.5,1,,120000,1
493,720mm Howitzer Artillery I,55,Projectile Weapon,578,Medium,50,25,0.25,1,,150000,1
494,Dual 425mm AutoCannon I,55,Projectile Weapon,576,Large,200,20,5,1,,200000,1
495,Dual 650mm Repeating Cannon I,55,Projectile Weapon,576,Large,2000,50,4,1,,600000,1
496,800mm Repeating Cannon I,55,Projectile Weapon,576,Large,75,25,3,1,,900000,1
497,1200mm Artillery Cannon I,55,Projectile Weapon,579,Large,2000,50,1,1,,1200000,1
498,1400mm Howitzer Artillery I,55,Projectile Weapon,579,Large,2000,50,0.5,1,,1500000,1
499,Light Missile Launcher I,509,Missile Launcher Light,640,Light Missile Launchers,0,5,0.6,1,,6000,1
501,Heavy Missile Launcher I,510,Missile Launcher Heavy,642,Heavy Launchers,0,10,0.9,1,,30000,1
503,Torpedo Launcher I,508,Missile Launcher Torpedo,644,Torpedo Launchers,0,20,1.5,1,,99996,1
506,'Basic' Capacitor Power Relay,767,Capacitor Power Relay,667,Capacitor Power Relays,20,5,0,1,,,1
508,'Basic' Shield Flux Coil,770,Shield Flux Coil,687,Shield Flux Coils,20,5,0,1,,,1
509,'Basic' Capacitor Flux Coil,768,Capacitor Flux Coil,666,Capacitor Flux Coils,20,5,0,1,,,1
518,'Basic' Gyrostabilizer,59,Gyrostabilizer,646,Gyrostabilizers,0,5,0,1,,,1
519,Gyrostabilizer II,59,Gyrostabilizer,646,Gyrostabilizers,0,5,0,1,,,1
520,Gyrostabilizer I,59,Gyrostabilizer,646,Gyrostabilizers,0,5,0,1,,,1
521,'Basic' Damage Control,60,Damage Control,615,Damage Controls,5000,5,0,1,,,1
522,'Micro' Cap Battery,61,Capacitor Battery,702,Micro,0,2.5,0,1,,,1
523,Small Armor Repairer I,62,Armor Repair Unit,1049,Small ,500,5,0,1,,,1
524,Small Hull Repairer I,63,Hull Repair Unit,1053,Small,1000,12.5,0,1,,,1
526,Stasis Webifier I,65,Stasis Web,683,Stasis Webifiers,0,5,0,1,,,1
527,Stasis Webifier II,65,Stasis Web,683,Stasis Webifiers,0,5,0,1,,,1
529,Small Remote Capacitor Transmitter I,67,Remote Capacitor Transmitter,695,Small,1000,25,0,1,,30000,1
530,Small Energy Nosferatu I,68,Energy Nosferatu,692,Small,1000,5,0,1,,,1
533,Small Energy Neutralizer I,71,Energy Neutralizer,689,Small,2000,5,0,1,,,1
561,75mm Gatling Rail I,74,Hybrid Weapon,564,Small,500,5,0.5,1,,2000,1
562,Light Electron Blaster I,74,Hybrid Weapon,561,Small,500,5,0.5,1,,6000,1
563,Light Ion Blaster I,74,Hybrid Weapon,561,Small,500,5,0.3,1,,9000,1
564,Light Neutron Blaster I,74,Hybrid Weapon,561,Small,500,5,0.2,1,,12000,1
565,150mm Railgun I,74,Hybrid Weapon,564,Small,500,5,0.1,1,,15000,1
566,Heavy Electron Blaster I,74,Hybrid Weapon,562,Medium,2000,10,2.5,1,,60000,1
567,Dual 150mm Railgun I,74,Hybrid Weapon,565,Medium,1000,10,2,1,,20000,1
568,Heavy Neutron Blaster I,74,Hybrid Weapon,562,Medium,1000,25,1,1,,120000,1
569,Heavy Ion Blaster I,74,Hybrid Weapon,562,Medium,1000,10,1.5,1,,90000,1
570,250mm Railgun I,74,Hybrid Weapon,565,Medium,1000,25,0.5,1,,150000,1
571,Electron Blaster Cannon I,74,Hybrid Weapon,563,Large,2000,50,5,1,,600000,1
572,Dual 250mm Railgun I,74,Hybrid Weapon,566,Large,2000,20,4,1,,200000,1
573,Neutron Blaster Cannon I,74,Hybrid Weapon,563,Large,2000,50,2,1,,1200000,1
574,425mm Railgun I,74,Hybrid Weapon,566,Large,2000,50,1,1,,1500000,1
575,Ion Blaster Cannon I,74,Hybrid Weapon,563,Large,2000,50,3,1,,900000,1
577,Medium Capacitor Booster I,76,Capacitor Booster,700,Medium,0,10,32,1,,28124,1
578,Adaptive Invulnerability Field I,77,Shield Hardener,1696,Adaptive Shield Hardeners,10000,20,0,1,,75000,1
580,Burst Jammer I,80,Burst Jammer,678,ECM Bursts,5000,5,0,1,,,1
581,Passive Targeter I,82,Passive Targeting System,672,Passive Targeting Systems,2000,25,0,1,,,1
582,Bantam,25,Frigate,61,Caldari,1480000,20000,270,1,1,,1
583,Condor,25,Frigate,61,Caldari,1100000,18000,130,1,1,,1
584,Griffin,25,Frigate,61,Caldari,1056000,19400,260,1,1,,1
585,Slasher,25,Frigate,64,Minmatar,1075000,17400,120,1,2,,1
586,Probe,25,Frigate,64,Minmatar,1123000,19500,400,1,2,,1
587,Rifter,25,Frigate,64,Minmatar,1067000,27289,140,1,2,,1
588,Reaper,237,Corvette,1819,Minmatar,1157000,15800,120,1,2,,1
589,Executioner,25,Frigate,72,Amarr,1090000,28100,115,1,4,,1
590,Inquisitor,25,Frigate,72,Amarr,1630000,28700,250,1,4,,1
591,Tormentor,25,Frigate,72,Amarr,1080000,24398,130,1,4,,1
592,Navitas,25,Frigate,77,Gallente,1450000,10000,280,1,8,,1
593,Tristan,25,Frigate,77,Gallente,1044000,26500,140,1,8,,1
594,Incursus,25,Frigate,77,Gallente,1028000,29500,165,1,8,,1
595,Gallente Police Ship,25,Frigate,,NA,2040000,20400,200,1,8,,0
596,Impairor,237,Corvette,1816,Amarr,1148000,28100,115,1,4,,1
597,Punisher,25,Frigate,72,Amarr,1190000,28600,135,1,4,,1
598,Breacher,25,Frigate,64,Minmatar,1087000,20000,175,1,2,,1
599,Burst,25,Frigate,64,Minmatar,1420000,17100,260,1,2,,1
600,Minmatar Peacekeeper Ship,25,Frigate,,NA,1200000,12000,80,1,2,,0
601,Ibis,237,Corvette,1817,Caldari,1163000,15000,125,1,1,,1
602,Kestrel,25,Frigate,61,Caldari,1113000,19700,160,1,1,,1
603,Merlin,25,Frigate,61,Caldari,997000,16500,150,1,1,,1
605,Heron,25,Frigate,61,Caldari,1150000,18900,400,1,1,,1
606,Velator,237,Corvette,1818,Gallente,1148000,24500,135,1,8,,1
607,Imicus,25,Frigate,77,Gallente,997000,21500,400,1,8,,1
608,Atron,25,Frigate,77,Gallente,1050000,22500,145,1,8,,1
609,Maulus,25,Frigate,77,Gallente,1063000,23000,275,1,8,,1
613,Devourer,25,Frigate,,NA,1200000,19100,110,1,2,,0
614,Fury,25,Frigate,,NA,1200000,26000,180,1,2,,0
615,Immolator,237,Corvette,1619,Special Edition Frigates,1148000,17400,115,1,4,,1
616,Medusa,25,Frigate,,NA,1200000,17500,30,1,2,,0
617,Echo,237,Corvette,1619,Special Edition Frigates,1157000,17660,120,1,2,,1
618,Lynx,25,Frigate,,NA,1200000,22500,200,1,2,,0
619,Swordspine,25,Frigate,,NA,1047000,21120,220,1,2,,0
620,Osprey,26,Cruiser,75,Caldari,11100000,107000,485,1,1,,1
621,Caracal,26,Cruiser,75,Caldari,11910000,92000,450,1,1,,1
622,Stabber,26,Cruiser,73,Minmatar,11400000,80000,420,1,2,,1
623,Moa,26,Cruiser,75,Caldari,12000000,101000,450,1,1,,1
624,Maller,26,Cruiser,74,Amarr,13150000,118000,480,1,4,,1
625,Augoror,26,Cruiser,74,Amarr,12870000,115000,465,1,4,,1
626,Vexor,26,Cruiser,76,Gallente,11100000,115000,480,1,8,,1
627,Thorax,26,Cruiser,76,Gallente,11280000,112000,465,1,8,,1
628,Arbitrator,26,Cruiser,74,Amarr,11200000,120000,345,1,4,,1
629,Rupture,26,Cruiser,73,Minmatar,12200000,96000,450,1,2,,1
630,Bellicose,26,Cruiser,73,Minmatar,11550000,85000,315,1,2,,1
631,Scythe,26,Cruiser,73,Minmatar,11110000,89000,475,1,2,,1
632,Blackbird,26,Cruiser,75,Caldari,13190000,96000,305,1,1,,1
633,Celestis,26,Cruiser,76,Gallente,12070000,116000,320,1,8,,1
634,Exequror,26,Cruiser,76,Gallente,11020000,113000,495,1,8,,1
635,Opux Luxury Yacht,26,Cruiser,1699,Special Edition Cruisers,13075000,115000,1750,1,8,,1
638,Raven,27,Battleship,80,Caldari,99300000,486000,830,1,1,108750000,1
639,Tempest,27,Battleship,78,Minmatar,99500000,450000,780,1,2,103750000,1
640,Scorpion,27,Battleship,80,Caldari,103600000,468000,690,1,1,71250000,1
641,Megathron,27,Battleship,81,Gallente,98400000,486000,845,1,8,105000000,1
642,Apocalypse,27,Battleship,79,Amarr,97100000,495000,845,1,4,112500000,1
643,Armageddon,27,Battleship,79,Amarr,105200000,486000,750,1,4,66250000,1
644,Typhoon,27,Battleship,78,Minmatar,100600000,414000,780,1,2,75000000,1
645,Dominix,27,Battleship,81,Gallente,100250000,454500,750,1,8,62500000,1
648,Badger,28,Industrial,84,Caldari,10650000,250000,3900,1,1,,1
649,Tayra,28,Industrial,84,Caldari,13000000,270000,7300,1,1,,1
650,Nereus,28,Industrial,83,Gallente,11250000,240000,2700,1,8,,1
651,Hoarder,28,Industrial,82,Minmatar,10625000,400000,500,1,2,,1
652,Mammoth,28,Industrial,82,Minmatar,11500000,255000,5500,1,2,,1
653,Wreathe,28,Industrial,82,Minmatar,10000000,225000,2900,1,2,,1
654,Kryos,28,Industrial,83,Gallente,12625000,245000,550,1,8,,1
655,Epithal,28,Industrial,83,Gallente,12800000,250000,550,1,8,,1
656,Miasmos,28,Industrial,83,Gallente,12975000,265000,550,1,8,,1
657,Iteron Mark V,28,Industrial,83,Gallente,13500000,275000,5800,1,8,,1
670,Capsule,29,Capsule,,NA,32000,1000,0,1,16,,0
671,Erebus,30,Titan,815,Gallente,2100000000,145500000,16250,1,8,50699805800,1
672,Caldari Shuttle,31,Shuttle,396,Caldari,1600000,5000,10,1,1,7500,1
681,Clone Grade Beta Blueprint,104,Clone Blueprint,,NA,0,0.01,0,1,,9999999,0
682,Clone Grade Gamma Blueprint,104,Clone Blueprint,,NA,0,0.01,0,1,,9999999,0
683,Bantam Blueprint,105,Frigate Blueprint,261,Caldari,0,0.01,0,1,,2550000,1
684,Condor Blueprint,105,Frigate Blueprint,261,Caldari,0,0.01,0,1,,2150000,1
685,Griffin Blueprint,105,Frigate Blueprint,261,Caldari,0,0.01,0,1,,2350000,1
686,Osprey Blueprint,106,Cruiser Blueprint,275,Caldari,0,0.01,0,1,,80500000,1
687,Caracal Blueprint,106,Cruiser Blueprint,275,Caldari,0,0.01,0,1,,82500000,1
688,Raven Blueprint,107,Battleship Blueprint,280,Caldari,0,0.01,0,1,,1135000000,1
689,Slasher Blueprint,105,Frigate Blueprint,264,Minmatar,0,0.01,0,1,,2100000,1
690,Probe Blueprint,105,Frigate Blueprint,264,Minmatar,0,0.01,0,1,,2700000,1
691,Rifter Blueprint,105,Frigate Blueprint,264,Minmatar,0,0.01,0,1,,2800000,1
692,Stabber Blueprint,106,Cruiser Blueprint,273,Minmatar,0,0.01,0,1,,82000000,1
693,Tempest Blueprint,107,Battleship Blueprint,278,Minmatar,0,0.01,0,1,,1055000000,1
784,Miner II Blueprint,134,Mining Laser Blueprint,,NA,0,0.01,0,1,,10000000000,1
785,Miner I Blueprint,134,Mining Laser Blueprint,338,Mining Lasers,0,0.01,0,1,,92720,1
786,Light Missile Launcher I Blueprint,136,Missile Launcher Blueprint,340,Missile Launchers,0,0.01,0,1,,60000,1
788,Heavy Missile Launcher I Blueprint,136,Missile Launcher Blueprint,340,Missile Launchers,0,0.01,0,1,,300000,1
790,Torpedo Launcher I Blueprint,136,Missile Launcher Blueprint,340,Missile Launchers,0,0.01,0,1,,999960,1
803,Mjolnir Cruise Missile Blueprint,166,Missile Blueprint,1526,Cruise Missiles,1,0.01,0,1,,5000000,1
804,Scourge Cruise Missile Blueprint,166,Missile Blueprint,1526,Cruise Missiles,1,0.01,0,1,,3000000,1
